username,currency,prize
Tuanngao1982,VND,164
rondo17,IDR,164
thuytay6688,VND,163
Manhtckt,VND,163
TVT242,VND,163
Chautinhtrung11,VND,163
primap3,IDR,163
ws1530311610,THB,163
Nguyentuanhp,VND,162
tunguyen11976,VND,162
Mooice153,THB,162
duahau2014,VND,162
Khemzaa123,THB,162
xuongrong0210,VND,162
mp9667,KRW,161
kah,VND,161
Sonlam94,VND,161
Leanhdai04,VND,161
Hummer2021,VND,161
zgc8989,THB,161
xuanvi58,VND,159
Blackjackyy,IDR,159
phamhien113,VND,159
phanlanh1207,VND,159
Boskadas,IDR,159
dcthien93,VND,159
bk1186,THB,159
88huy88,VND,158
Doibuon88vn,VND,158
Badboy983,VND,156
quoclinh779,VND,156
Karunate,IDR,155
hungson3337,VND,155
oatozil,THB,155
mrhoangphuc97,VND,154
Hongquan260398,VND,154
Letheteo90,VND,154
maiwin789,VND,154
Veepong,THB,154
Gialinh1,VND,153
Ptunglam98,VND,153
son10081978,VND,153
Duongvanbon2005,VND,153
BkMn68355,THB,153
csm4991,VND,152
Maxbold9,IDR,152
naya1313,IDR,152
Bohary99,IDR,152
haoxs87,IDR,152
EdinDzeko,IDR,152
Tommydom1081,VND,151
Stopstop,VND,151
Yotsanonwong,THB,151
ttbb0626,THB,151
toto8179,THB,150
Nhatban88,VND,150
bangnaga96,IDR,150
Chelsea0812,IDR,149
Tranngocluancvf,VND,149
shyamaa,INR,149
Kuda,IDR,148
trannguyenvn,VND,148
huannv8888,VND,148
bronson19,IDR,148
Dungdcl,VND,148
tatakaka,THB,148
stanis04,IDR,148
utmayman,VND,147
Abuhutbu1,VND,147
Dungbap01,VND,147
ntt76qt,VND,147
nguyenthanhduy94,VND,147
noodee535,THB,147
tranquochung1984,VND,147
hien1289,VND,146
Alo0919494555,VND,146
obamahp,VND,146
sianbo,THB,146
lengocluan2023,VND,145
noos8899,THB,145
rainbow29,THB,145
pinyo324400,THB,145
caigicunghay,VND,144
S2singsan,VND,144
mambu1006,IDR,144
La220789,VND,143
phuvanthach,VND,143
as544201,VND,143
angelfive2001,VND,143
thotho95,VND,142
thuhp1985,VND,142
TEPPI1992,VND,142
eNd12a,IDR,142
collabo88,KRW,141
quynh0706,VND,141
Trucgolden,VND,141
Leconghieuck,VND,141
leeshin36,VND,141
Maitree1851,THB,141
Cryptonymous,IDR,140
Tamthanh2013,VND,140
Kienhd1121,VND,140
chok12345,THB,140
363382728,VND,139
Binnguyen1805,VND,139
Truongvd0109,VND,139
Tap01,IDR,139
